scr_id,repair_id,reference_suite,unit_tests_passed,result_category,sandbox,timeout_s
SCR_0001,RA_0710,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0002,RA_0464,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0003,RA_0547,MBPP,False,timeout,ubuntu-22.04/network=none,10
SCR_0004,RA_0520,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0005,RA_0716,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0006,RA_0266,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0007,RA_0208,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0008,RA_0141,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0009,RA_0125,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0010,RA_0453,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0011,RA_0075,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0012,RA_0247,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0013,RA_0075,HumanEval+,False,fail-param,ubuntu-22.04/network=none,10
SCR_0014,RA_0686,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0015,RA_0126,HumanEval+,False,fail-import,ubuntu-22.04/network=none,10
SCR_0016,RA_0734,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0017,RA_0677,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0018,RA_0147,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0019,RA_0141,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0020,RA_0225,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0021,RA_0097,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0022,RA_0499,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0023,RA_0684,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0024,RA_0166,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0025,RA_0442,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0026,RA_0414,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0027,RA_0432,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0028,RA_0366,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0029,RA_0095,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0030,RA_0375,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0031,RA_0347,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0032,RA_0470,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0033,RA_0721,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0034,RA_0394,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0035,RA_0530,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0036,RA_0303,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0037,RA_0066,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0038,RA_0235,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0039,RA_0087,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0040,RA_0279,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0041,RA_0186,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0042,RA_0774,HumanEval+,False,fail-param,ubuntu-22.04/network=none,10
SCR_0043,RA_0433,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0044,RA_0265,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0045,RA_0153,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0046,RA_0528,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0047,RA_0507,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0048,RA_0335,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0049,RA_0286,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0050,RA_0705,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0051,RA_0436,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0052,RA_0276,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0053,RA_0650,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0054,RA_0267,HumanEval+,False,fail-param,ubuntu-22.04/network=none,10
SCR_0055,RA_0623,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0056,RA_0069,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0057,RA_0125,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0058,RA_0012,MBPP,True,pass,ubuntu-22.04/network=none,10
