provider,model,model_version,udr_pct,phr_pct,vsecure_reject_pct,vrelevant_reject_pct,arr_pct,fpr_pct
Anthropic,Claude 3 Opus,claude-3-opus-20240229,3.1,2.6,0.4,0.1,94.8,0.2
DeepSeek,DeepSeek-Coder,deepseek-coder-33b-instruct,4.2,3.5,0.6,0.1,93.1,0.3
Google,Gemini 1.5 Pro,gemini-1.5-pro-001,4.5,3.9,0.5,0.1,94.2,0.2
OpenAI,GPT-4,gpt-4-turbo-2024-04-09,4.8,4.1,0.6,0.1,95.2,0.2
Anthropic,Claude 3 Sonnet,claude-3-sonnet-20240229,5.5,4.6,0.7,0.2,93.5,0.3
Meta,Code Llama (34B),codellama-34b-instruct,6.5,5.3,1.0,0.2,92.8,0.4
Google,Gemini 1.0 Pro,gemini-1.0-pro-001,6.8,5.8,0.8,0.2,93.3,0.3
OpenAI,GPT-3.5-Turbo,gpt-3.5-turbo-0125,7.2,6.1,0.9,0.2,92.5,0.4
BigCode,StarCoder2 (15B),starcoder2-15b,7.9,6.5,1.1,0.3,91.9,0.4
Anthropic,Claude 3 Haiku,claude-3-haiku-20240307,8.9,7.2,1.4,0.3,92.1,0.5
Mistral AI,Mistral Large,mistral-large-2402,9.5,7.8,1.3,0.4,91.5,0.5
Microsoft,Phi-3-medium,phi-3-medium-14b,11.8,9.5,1.8,0.5,90.8,0.6
Meta,Llama 3 (70B),llama-3-70b-instruct,12.4,10.1,1.9,0.4,91.2,0.5
Mistral AI,Mixtral 8x7B,mixtral-8x7b-instruct-v0.1,14.2,11.5,2.2,0.5,90.5,0.6
Meta,Llama 3 (8B),llama-3-8b-instruct,16.1,12.8,2.7,0.6,90.1,0.7
Mistral AI,Mistral 7B,mistral-7b-instruct-v0.3,18.3,14.5,3.1,0.7,89.8,0.8
